,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
0,146.7142,-1.0413043,0.021275453,10.294701,16.3047,15.627859,0.0020363622,0.0010917427,93.69114383748997,0.9477592838460258,Field,,
1,146.91945,-0.99049175,0.21392463,11.162018,19.0826,18.079983,0.00021281814,8.45201e-05,898.3180443865447,0.8742280929680674,Field,,
2,146.85983,-0.80890167,0.12655362,11.373624,18.9428,17.694822,0.00030343866,9.613458e-05,543.297927755973,0.9165887229312891,Field,,
4,146.9639,-0.5450026,0.055987872,9.958836,19.4772,18.517302,0.00014225845,5.8765585e-05,244.5326774273365,0.8745751938153208,Field,,
5,146.60721,-1.240753,0.09063296,10.915439,18.2503,17.301632,0.00043586196,0.00018192064,392.5456108165685,0.9375050347763894,Field,,
6,146.72794,-0.55687994,0.08933747,10.783212,18.1813,17.25646,0.00045437602,0.00019385692,387.0569393277587,0.9386317986353485,Field,,
7,146.74413,-0.6521906,0.2037688,11.365243,19.0098,17.697834,0.0003025976,9.038148e-05,857.9043342567219,0.9163203033267879,Field,,
8,146.59271,-0.76025605,0.06502353,10.1398535,18.4848,17.585674,0.00033553055,0.00014658194,283.3810764400245,0.9250648405283965,Field,,
9,146.9341,-0.67040396,0.12131637,11.165448,18.1628,16.997368,0.000576837,0.00019718774,521.4910926774998,0.9428474743959984,Field,,
10,146.95,-0.59220225,0.064776674,9.7676325,18.8533,17.998915,0.00022931558,0.00010439521,282.3220404445757,0.8834094025802003,Field,,
11,146.63167,-0.9882778,0.052658666,9.364033,19.1326,18.485851,0.00014644038,8.071633e-05,230.17540797622098,0.8744545107507711,Field,,
12,146.62857,-0.76513684,0.064588785,10.5648575,18.1928,17.127377,0.0005117421,0.00019181338,281.51588213212585,0.9411265799619012,Field,,
15,146.9635,-0.75935173,0.097041465,10.382615,18.6868,17.618538,0.00032552527,0.00012169742,419.6439978772214,0.9227618633068143,Field,,
17,147.02336,-0.16009352,0.21564895,11.422873,19.3548,18.192383,0.0001918875,6.577804e-05,905.1574055182408,0.8646105100967192,Field,,
18,146.9108,-0.07455935,0.24227172,11.521063,19.4048,18.084093,0.00021201398,6.281747e-05,1009.932127886458,0.8737816853775653,Field,,
19,146.95607,-0.34230044,0.13483052,11.1529455,18.8645,17.370491,0.0004090751,0.000103323764,577.6404122815585,0.9354845572858548,Field,,
20,146.9201,-0.30646208,0.1314682,10.9303875,19.0955,17.797653,0.00027601898,8.352231e-05,563.7073646232536,0.9066019841973212,Field,,
21,147.17639,-0.35405684,0.0062822127,7.9096804,18.8395,18.047054,0.0002193718,0.000105730534,27.762243457112536,0.877930439488507,Field,,
22,147.32951,0.028902695,0.048096348,10.6426935,17.5661,16.721788,0.00074350927,0.00034163296,210.4623691451728,0.9452200818593228,Field,,
23,147.24805,-0.035723556,0.08410355,10.844511,18.0309,17.178122,0.0004883725,0.00022265938,364.84562737322096,0.9402592936677221,Field,,
24,147.18678,-0.49381256,0.09024068,11.048132,18.3413,17.33208,0.00042380564,0.00016729394,390.8839965081529,0.936639567679479,Field,,
25,147.11461,-0.16521837,0.20423692,11.394201,18.6059,17.56585,0.0003417125,0.00013111113,859.7720947103791,0.9263260168432419,Field,,
26,147.2257,-0.29262063,0.13373035,10.532705,19.1105,18.046684,0.00021944504,8.2376246e-05,573.0841319393879,0.8779700074318575,Field,,
28,146.56561,-1.084742,0.09757023,10.675805,17.9863,16.96838,0.00059244735,0.00023199698,421.87596585077796,0.9431556530623594,Field,,
29,146.57272,-1.0608357,0.06075863,10.604411,18.3073,17.33751,0.0004216928,0.00017261543,265.0658700118941,0.9364974468357704,Field,,
30,146.30548,-1.1305512,0.15488765,10.484775,19.0732,18.137882,0.00020176498,8.5254906e-05,660.2463412399397,0.8683824619683682,Field,,
31,146.43282,-0.98737836,0.14039965,10.984621,18.0787,17.259712,0.00045301707,0.00021306971,600.6644581343409,0.9385546146397286,Field,,
32,146.57133,-0.9572115,0.06522541,10.678596,18.1497,17.374157,0.00040769763,0.00019958196,284.2470808733443,0.9353611501408472,Field,,
33,146.32349,-1.1808358,0.08930188,10.293827,18.1303,17.244064,0.00045959413,0.00020317973,386.9060968388674,0.9389166458181631,Field,,
34,146.51283,-0.84576494,0.06492077,10.870289,17.5027,16.688187,0.0007668767,0.00036217622,282.9402426650722,0.9454193825720629,Field,,
35,146.36034,-0.8166569,0.12750788,10.945272,18.2218,17.0914,0.0005289811,0.00018675847,547.2648733855436,0.9416733555851495,Field,,
36,146.31178,-0.81320924,0.20591073,11.265907,18.7798,17.537228,0.0003508413,0.00011170701,866.4465243481359,0.9280862700674407,Field,,
38,146.36894,-0.6682473,0.2711041,11.591032,19.3417,17.952019,0.00023943759,6.657671e-05,1121.6622948209376,0.8890410868634021,Field,,
39,146.4483,-0.71339965,0.11469807,10.519801,18.4058,17.302969,0.0004353225,0.00015764544,493.8492218550772,0.9374692837532016,Field,,
40,146.90231,-0.31366175,0.13155307,11.082269,19.4494,18.151243,0.00019929731,6.028914e-05,564.0593243890855,0.8672183636639178,Field,,
41,146.86432,-0.4640719,0.06515202,10.1467905,18.3913,17.423544,0.00038956673,0.0001597643,283.9322789503367,0.9335825736960744,Field,,
43,146.77711,-0.24198689,0.13072853,10.61273,19.5054,18.313576,0.00017162066,5.7258396e-05,560.6389388467595,0.8657097110889761,Field,,
44,146.89159,-0.5126615,0.08395144,10.536587,18.8023,17.685705,0.0003059974,0.00010941618,364.1992671061688,0.9173977563230733,Field,,
45,146.90125,-0.4131573,0.056575943,10.334303,18.0605,16.880053,0.0006426575,0.0002166707,247.0663127609161,0.9440098126162269,Field,,
46,146.8833,-0.49469888,0.083625905,11.296715,17.9313,16.864557,0.00065189623,0.0002440516,362.8157350846086,0.9441376838454234,Field,,
47,146.85757,-0.21877608,0.12451607,10.946429,18.7495,17.437302,0.0003846619,0.00011486818,534.8210046240032,0.9330505560700687,Field,,
49,146.812,-0.19004646,0.06211357,10.608024,17.6939,16.765121,0.000714418,0.0003036973,270.88869663803945,0.9449497698577367,Field,,
53,146.85966,-0.09893863,0.12542537,10.667418,18.7799,17.730806,0.0002935473,0.00011169671,538.6051043948665,0.9133001707969134,Field,,
54,146.76077,0.01597814,0.12492377,11.045128,19.0981,17.62967,0.00032220548,8.332227e-05,536.5179062502333,0.9218774174377423,Field,,
55,146.80914,0.026384188,0.12601508,11.48772,18.3911,16.962425,0.0005957035,0.00015979448,541.0582773666639,0.9432157389179645,Field,,
56,146.23485,-1.1527694,0.067389406,9.703085,18.7943,17.727673,0.00029439683,0.000110224544,293.5245144824123,0.9136029383456862,Field,,
58,146.23657,-1.1192325,0.1143732,10.664286,19.0152,18.01643,0.0002256471,8.993366e-05,492.4899567959627,0.8813613910412017,Field,,
60,146.19263,-0.688401,0.004097234,7.612726,19.3867,18.847618,0.0001049427,6.3873784e-05,18.11562576780136,0.8591262747175166,Field,,
61,146.0078,-0.64227164,0.004810433,6.689749,17.4948,17.76891,0.00028342265,0.00036481986,21.26545825326603,0.9096291737191401,Field,,
62,146.09344,-1.0081668,0.06592802,10.086474,18.1467,17.46658,0.00037442942,0.00020013406,287.2603878806224,0.9317389314981119,Field,,
64,146.09369,-0.7930877,0.067620546,10.892959,17.3688,16.36587,0.001031936,0.0004097152,294.51486150853816,0.9467182706951143,Field,,
65,146.11835,-0.8681462,0.127658,10.526115,18.6857,17.868174,0.00025866114,0.00012182041,547.888736120799,0.8988983094251574,Field,,
66,146.07944,-0.6809605,0.06730081,10.446749,17.8708,16.97081,0.00059112185,0.0002580371,293.14488812244207,0.943131395246303,Field,,
67,146.13557,-0.6821906,0.20388186,11.439088,18.8088,17.55879,0.00034394083,0.000108762695,858.3554586436604,0.9267605454880111,Field,,
68,146.12796,-1.1897714,0.1408175,10.853505,18.9902,17.901573,0.00025082464,9.202853e-05,602.3892100155565,0.8949766865496986,Field,,
70,146.14359,-0.74164104,0.20388976,11.777782,18.5418,17.310427,0.0004323445,0.0001390849,858.3869714983209,0.93726835755091,Field,,
71,146.61903,-0.43432227,0.006039161,8.341645,18.5823,17.967106,0.00023613242,0.00013399262,26.689662020448136,0.8872765583305123,Field,,
72,146.74174,-0.5246915,0.13151585,10.57516,19.1962,18.262135,0.0001799468,7.6123935e-05,563.9049460607703,0.8635589143434572,Field,,
73,146.60365,-0.19149283,0.12157553,10.6328745,18.5889,17.794636,0.00027678616,0.00013318066,522.5715464686608,0.9069282611604763,Field,,
74,146.7517,-0.4083915,0.03580908,9.92328,18.2405,16.882734,0.0006410704,0.00018356914,157.1535181099121,0.9439857923571413,Field,,
75,146.62965,-0.46568888,0.08925618,10.798924,18.2173,17.361614,0.00041243588,0.00018753434,386.712432206127,0.9357434858471328,Field,,
76,146.49052,-0.36931044,0.12314858,11.054405,18.1665,16.904163,0.0006285417,0.0001965177,529.1267670411795,0.9437984465487859,Field,,
78,146.73712,-0.2521827,0.13048142,11.299431,18.2425,17.01751,0.00056623464,0.00018323165,559.6136001893142,0.942612599921321,Field,,
79,146.57562,-0.29127368,0.12636723,10.972551,19.4194,18.252893,0.00018148652,6.197864e-05,542.5228184489296,0.8634635190491872,Field,,
80,146.63489,-0.19229113,0.13216081,11.288787,18.0629,17.061504,0.00054374995,0.00021619162,566.5794451860926,0.9420850026972983,Field,,
81,146.729,0.026971893,0.05670393,10.444561,18.1601,16.960913,0.0005965334,0.0001976785,247.61762943933343,0.9432334912963163,Field,,
82,146.64357,-0.33134526,0.13027334,11.441894,18.4055,17.064074,0.0005424643,0.00015768837,558.7500938088629,0.9420495018171275,Field,,
83,146.66136,-0.1033698,0.06940611,10.303443,19.0029,17.941587,0.00024174846,9.0958085e-05,302.16151421697083,0.8901702100247805,Field,,
84,146.74794,-0.2682818,0.13026698,10.862069,19.1205,17.918211,0.00024701052,8.162071e-05,558.7236874916736,0.8929603660253767,Field,,
86,146.69572,-0.28693372,0.12101814,11.352385,17.9995,16.827543,0.0006744991,0.00022919175,520.2475357698135,0.9444841672060513,Field,,
87,146.63068,0.070984066,0.12592643,11.064381,19.0021,17.74609,0.00028944432,9.102523e-05,540.6895590257087,0.9117980611662305,Field,,
